Main,Featuring,peakPos
Metro Boomin,Swae Lee,72
Metro Boomin,Travis Scott,62
Metro Boomin,Travis Scott,100
Metro Boomin,Travis Scott,79
MGK,Waka Flocka Flame,98
Migos,21 Savage,48
Migos,DJ Khaled,93
Migos,Drake,10
Migos,Gucci Mane,29
Migos,Lil Uzi Vert,1
Migos,Post Malone,52
Migos,Travis Scott,58
Migos,Travis Scott,64
Migos,YoungBoy Never Broke Again,62
Miguel,J. Cole,58
Miguel,Travis Scott,29
MIKA,Ariana Grande,87
Mike Posner,Lil Wayne,30
Mike WiLL Made-It,Miley Cyrus,11
Mindless Behavior,Diggy,72
Missy Elliott,Lamb,71
Missy Elliott,Pharrell Williams,22
Money Man,Lil Baby,49
Moneybagg Yo,DaBaby,89
MoneyBagg Yo,Lil Baby,53
Morgan Wallen,Florida Georgia Line,49
Mustard featuring NAV,Playboi Carti,81
My Darkest Days,Zakk Wylde,90
Nas,Fivio Foreign,96
Nas,Kanye West,96
Natalie La Rose,Jeremih,10
Naughty Boy,Beyonce,90
Naughty Boy,Sam Smith,19
NAV,Lil Baby,65
NAV,Lil Uzi Vert,64
NAV,Meek Mill,87
NAV,The Weeknd,72
NAV,Travis Scott,86
Ne-Yo,Juicy J,19
NEEDTOBREATHE,Gavin DeGraw,98
Nelly,Jeremih,62
Nelly,Keri Hilson,75
Nelly,T-Pain,54
New Boyz,Iyaz,68
New Boyz,Ray J,22
New Boyz,The Cataracs,26
Nick Jonas,Tove Lo,14
Nicki Minaj,2 Chainz,48
Nicki Minaj,Ariana Grande,88
Nicki Minaj,Beyonce,39
Nicki Minaj,Chris Brown,51
Nicki Minaj,Drake,13
Nicki Minaj,Drake,14
Nicki Minaj,Drake,12
Nicki Minaj,Eminem,56
Nicki Minaj,Eminem,58
Nicki Minaj,Lil Wayne,70
Nicki Minaj,Rihanna,19
Nicki Minaj,Skylar Grey,62
Nicki Minaj,The Weeknd,98
Nicole Scherzinger,50 Cent,39
Nipsey Hussle,Belly,65
Nipsey Hussle,Kendrick Lamar,93
Nipsey Hussle,Roddy Ricch,26
Nipsey Hussle,Stacy Barthe,100
Nipsey Hussle,YG,76
NLE Choppa,Roddy Ricch,38
Noah Cyrus,Labrinth,46
O.T. Genasis,Young Dolph,35
Offset,J. Cole,65
Offset,Cardi B,39
Offset,Travis Scott,49
OG Maco,2 Chainz,90
Olly Murs,Chiddy Bang,96
Olly Murs,Flo Rida,25
Omarion,Chris Brown,13
Omarion,Gucci Mane,83
P!nk,Chris Stapleton,96
P!nk,Lily Allen,53
P!nk,Nate Ruess,1
Panic! At The Disco,Lolo,68
Pardison Fontaine,Cardi B,40
PARTYNEXTDOOR,Drake,55
Pia Mia,Chris Brown,71
Pitbull,Akon,42
Pitbull,Chris Brown,13
Pitbull,Christina Aguilera,8
Pitbull,Enrique Iglesias,64
Pitbull,Flo Rida,95
Pitbull,G.R.L.,30
Pitbull,Jennifer Lopez,59
Pitbull,John Ryan,23
Pitbull,Ke$ha,1
Pitbull,Marc Anthony,30
Pitbull,Ne-Yo,1
Pitbull,Shakira,89
Pitbull,T-Pain,7
Pitbull,T-Pain,69
Pitbull,TJR,17
Pitbull x El Chombo x Karol G,Cutty Ranks,36
Playboi Carti,Lil Uzi Vert,76
Plies,Kodak Black,100
Polo G,Juice WRLD,30
Polo G,Lil Baby,57
Polo G,Lil Tjay,11
Polo G,NLE Choppa,60
Pop Smoke,50 Cent,11
Pop Smoke,Karol G,56
Pop Smoke,King Combs,76
Pop Smoke,Lil Baby,6
Pop Smoke,Lil Tjay,17
Pop Smoke,Quavo,93
Pop Smoke,Quavo,54
Pop Smoke,Rowdy Rebel,49
Pop Smoke,Swae Lee,57
Pop Smoke,Tyga,65
Post Malone,21 Savage,1
Post Malone,DaBaby,16
Post Malone,Future,20
Post Malone,G-Eazy,20
Post Malone,Justin Bieber,75
Post Malone,Meek Mill,22
Post Malone,Nicki Minaj,16
Post Malone,Ozzy Osbourne,8
Post Malone,Quavo,8
Post Malone,Swae Lee,15
Post Malone,SZA,34
Post Malone,Ty Dolla $ign,1
Post Malone,Young Thug,3
Powfu,beabadoobee,23
Prince Royce,Jennifer Lopez,92
Prince Royce,Snoop Dogg,43
PSY,CL,97
PSY,Snoop Dogg,26
Pusha T,Kanye West,75
Quavo,21 Savage,61
Quavo,Drake,48
Quavo,Lil Baby,100
Quavo,Travis Scott,88
R. City,Adam Levine,6
R. Kelly,2 Chainz,89
Rae Sremmurd,Gucci Mane,1
Rae Sremmurd,Nicki Minaj,30
Rascal Flatts,Natasha Bedingfield,43
Ray J,Bobby Brackins,51
Reeve Carney,Bono,74
Reik,Ozuna,77
RiceGum,Alissa Violet,80
Rich Gang,Lil Wayne,44
Rich Gang,Young Thug,16
Rich Homie Quan,Problem,74
Rich The Kid,Kendrick Lamar,41
Rick Ross,Chris Brown,97
Rick Ross,Drake,39
Rick Ross,Drake,30
Rick Ross,Drake,58
Rick Ross,JAY Z,86
Rick Ross,Kanye West,78
Rick Ross,Lil Wayne Or T.I.,61
Rick Ross,Ne-Yo,100
Rick Ross,Nicki Minaj,62
Rick Ross,Styles P,60
Rick Ross,Wale,71
Rick Ross,Young Thug,97
Ricky Martin,Natalia Jimenez,74
Rihanna,Britney Spears,1
Rihanna,Calvin Harris,1
Rihanna,Chris Brown,24
Rihanna,David Guetta,50
Rihanna,Drake,1
Rihanna,Future,55
Rihanna,Jay-Z,31
Rihanna,Jeezy,8
Rihanna,Mikky Ekko,3
Rihanna,Slash,64
Rob $tone,J. Davi$,29
Robin Schulz,Francesco Yates,44
Robin Thicke,Kendrick Lamar,25
Robin Thicke,T.I. + Pharrell,1
Rocko,Future,20
Rod Wave,ATR Son Son,12
Roddy Ricch,A Boogie Wit da Hoodie,73
Roddy Ricch,Meek Mill,72
Roddy Ricch,Mustard,20
Romeo Santos,Drake,45
Romeo Santos,Nicky Jam,95
Romeo Santos,Usher,83
Roscoe Dash,Soulja Boy Tell'em,46
Rudimental,Ed Sheeran,48
Sada Baby,Nicki Minaj,35
Sage The Gemini,IamSu!,29
Sage The Gemini,Nick Jonas,75
Sam Smith,Logic,55
Saweetie,Jhene Aiko,76
ScHoolboy Q,21 Savage,67
ScHoolboy Q,BJ The Chicago Kid,38
ScHoolboy Q,Kanye West,40
ScHoolboy Q,Kendrick Lamar,92
Sean Kingston,Chris Brown,52
Sean Kingston,Nicki Minaj,36
Sean Paul,Alexis Jordan,84
Sech,Daddy Yankee,64
Selena Gomez,A$AP Rocky,5
Selena Gomez,Gucci Mane,27
Sevyn Streeter,Chris Brown,30
Shaggy,Mohombi,66
Shakira,El Cata or Dizzee Rascal,32
Shakira,Freshlyground,38
Shakira,Lil Wayne,29
Shakira,Maluma,51
Shakira,Nicky Jam,100
Shakira,Rihanna,15
Shawn Mendes,Khalid,65
Sia,Kendrick Lamar,18
Sia,Sean Paul,1
Ski Mask The Slump God,Juice WRLD,63
Skrillex,Sirah,74
Slaughterhouse,Eminem,98
Snoop Dogg,Wiz Khalifa,7
Snoop Dogg,T-Pain,76
Snoop Dogg,The-Dream,35
Snootie Wild,K Camp,93
Snow Patrol,Martha Wainwright,54
Sofi Tukker,NERVO,81
Solange,Sampha,91
Steve Aoki,BTS,89
Steve Aoki,Chris Lake,90
Sugarland,Taylor Swift,72
Summer Walker,A Boogie Wit da Hoodie,68
Summer Walker,Jhene Aiko,61
surf mesa,Emilee,23
Swae Lee,Drake,75
Swae Lee,Slim Jxmmi,84
Swedish House Mafia,John Martin,6
SZA,Travis Scott,32
SZA,Ty Dolla $ign,29
T-Pain,B.o.B,62
T-Pain,Chris Brown,33
T-Pain,Joey Galaxy,44
T-Pain,Lil Wayne,48
T-Pain,Rick Ross,89
T-Pain,Wiz Khalifa,10
T.I.,B.o.B.,78
T.I.,Big K.R.I.T.,66
T.I.,Chris Brown,70
T.I.,Eminem,18
T.I.,Iggy Azalea,33
T.I.,Keri Hilson,38
T.I.,Lil Baby,97
T.I.,Lil Wayne,50
T.I.,Young Thug,42
Taio Cruz,Flo Rida,62
Taio Cruz,Ke$ha,96
Taio Cruz,Ludacris,1
Taio Cruz,Travie McCoy,24
Taylor Swift,Bon Iver,6
Taylor Swift,Brendon Urie,2
Taylor Swift,Dixie Chicks,63
Taylor Swift,Ed Sheeran,32
Taylor Swift,Ed Sheeran,18
Taylor Swift,Kendrick Lamar,1
Taylor Swift,The Civil Wars,30
Tech N9Ne,2 Chainz,90
TeeFLii,2 Chainz,85
Tegan And Sara,The Lonely Island,57
The Chainsmokers,ILLENIUM,69
The Chainsmokers,5 Seconds Of Summer,52
The Chainsmokers,Daya,3
The Chainsmokers,Emily Warren,66
The Chainsmokers,Halsey,1
The Chainsmokers,Kelsea Ballerini,50
The Chainsmokers,Phoebe Ryan,18
The Chainsmokers,Rozes,6
The Chainsmokers,XYLO,71
The Dirty Heads,Rome,93
The Game,Drake,82
The Game,Jeremih,79
The Kid LAROI,Machine Gun Kelly,99
The Kid LAROI,YoungBoy Never Brok Again,76
The Lonely Island,Adam Levine,60
The Lonely Island,Akon,30
The Lonely Island,Michael Bolton,69
The Lonely Island,Nicki Minaj,82
The Script,will.i.am,25
The Weeknd,Daft Punk,2
The Weeknd,Ed Sheeran,91
The Weeknd,Future,46
The Weeknd,Gesaffelstein,43
The Weeknd,Kendrick Lamar,27
The Weeknd,Labrinth,85
The Weeknd,Lana Del Rey,47
Thomas Rhett,Jon Pardi,36
Thomas Rhett,Maren Morris,39
Thomas Rhett,Reba McEntire,42
Tiesto,Dzeko,52
Tiesto,Matthew Koma,49
Tim McGraw,Faith Hill,41
Timbaland,Drake,23
Timbaland,Justin Timberlake,11
Timbaland,Katy Perry,37
Tinashe,ScHoolboy Q,24
Tinie Tempah,Eric Turner,12
Tinie Tempah,Wiz Khalifa,90
TK Kravitz,Jacqueez,76
Tory Lanez,Chris Brown,66
Tory Lanez,Snoop Dogg,87
Train,Ashley Monroe,79
Travi$ Scott,Future,82
Travie McCoy,Bruno Mars,4
Travie McCoy,Jason Mraz,82
Travis Porter,Tyga,53
Travis Scott,Lil Uzi Vert,16
Travis Scott,Young Thug,1
Trey Songz,Drake,42
Trey Songz,Fabolous,9
Trey Songz,Nicki Minaj,6
Trey Songz,T.I.,43
Trippie Redd,DaBaby,59
Trippie Redd,Juice WRLD,55
Trippie Redd,Juice WRLD,60
Trippie Redd,Kodie Shane,89
Trippie Redd,Lil Baby,64
Trippie Redd,Travis Scott,72
Trippie Redd,YoungBoy Never Broke Again,84
Twista,Chris Brown,71
Ty Dolla $ign,B.o.B,29
Ty Dolla $ign,E-40,81
Ty Dolla $ign,Future,63
Ty Dolla $ign,Nicki Minaj,83
Ty Dolla $ign,Post Malone,53
Ty Dolla $ign,Wiz Khalifa,48
Tyga,Cedric Gervais,66
Tyga,Chris Richardson,86
Tyga,Drake,89
Tyga,Lil Wayne,33
Tyga,Nicki Minaj,74
Tyga,Offset,8
Tyga,Rick Ross,68
Tyga,Young Thug,85
Usher,Jay-Z,21
Usher,Juicy J,11
Usher,Nicki Minaj,40
Usher,Pitbull,4
Usher,Plies,24
Usher,Rick Ross,46
Usher,will.i.am,1
Usher,Young Thug,32
Victorious Cast,Victoria Justice,50
Waka Flocka Flame,Drake,86
Waka Flocka Flame,Kebo Gotti,74
Waka Flocka Flame,Nicki Minaj,72
Waka Flocka Flame,Roscoe Dash,13
Waka Flocka Flame,Trey Songz,64
Wale,Jeremih,87
Wale,Jeremih,49
Wale,Kid Cudi,97
Wale,Lil Wayne,100
Wale,Meek Mill,81
Wale,Miguel,38
Wale,Rick Ross,64
Wale,Sam Dew,89
Wale,Tiara Thomas Or Rihanna,21
Wale,Usher,70
WE the Kings,Demi Lovato,76
Wham!,George Michael,1
will.i.am,Justin Bieber,17
will.i.am,Mick Jagger,36
will.i.am,Miley Cyrus,58
will.i.am,Miley Cyrus,96
Wisin,Jennifer Lopez,94
Wisin,Ozuna,63
Wiz Khalifa,Akon,87
Wiz Khalifa,Charlie Puth,1
Wiz Khalifa,Lil Skies,73
Wiz Khalifa,Rae Sremmurd,83
Wiz Khalifa,Snoop Dogg,82
Wiz Khalifa,Swae Lee,72
Wiz Khalifa,The Weeknd,63
Wiz Khalifa,Too $hort,52
Wiz Khalifa,Travi$ Scott,56
Wiz Khalifa,Ty Dolla $ign,92
XXXTENTACION,Joey Bada$$,83
XXXTENTACION,Kanye West,62
XXXTENTACION,PnB Rock,85
XXXTENTACION,Trippie Redd,28
XXXTENTACION x Lil Pump,Maluma,28
YC,Future,42
YFN Lucci,Migos,70
YFN Lucci,PnB Rock,33
YG,2 Chainz,16
YG,A$AP Rocky,98
YG,Drake,54
YG,Drake,62
YG,Jeezy,19
YG,Tyga,100
YNW Melly,Kanye West,42
Yo Gotti,E-40,79
Yo Gotti,Jeezy,100
Yo Gotti,Lil Baby,46
Yo Gotti,Lil Wayne,81
Yo Gotti,Nicki Minaj,13
Young Jeezy,2 Chainz,58
Young Jeezy,Jay-Z,61
Young Jeezy,Lil Wayne,57
Young Jeezy,Ne-Yo,51
Young Jeezy,Plies,35
Young Money,Drake,50
Young Money,Gucci Mane,48
Young Money,Lloyd,2
Young T,Bugsey,56
Young Thug And Travis Scott,Quavo,43
Young Thug,Future,65
Young Thug,Gunna,61
Young Thug,Gunna,78
Young Thug,Lil Baby,32
Young Thug,Lil Uzi Vert,55
Young Thug,Machine Gun Kelly,92
Young Thug,Nicki Minaj,89
YoungBoy Never Broke Again,DaBaby,99
YoungBoy Never Broke Again,Kevin Gates,69
YoungBoy Never Broke Again,Lil Baby,94
YoungBoy Never Broke Again,Lil Wayne,35
YoungBoy Never Broke Again,Sherhonda Gaulden,90
Yung Bleu,Drake,52
Zac Brown Band,Alan Jackson,32
Zac Brown Band,Jimmy Buffett,18
Zayn,PARTYNEXTDOOR,66
Zayn,Sia,44
Zedd,Foxes,8
Zedd,Hayley Williams,18
Zedd,Jon Bellion,64
Zedd,Selena Gomez,17
